DATETIME,OPEN,HIGH,LOW,CLOSE,VOLUME
1998-01-02T00:00:00.000,3.31397,3.95098,3.28236,3.95098,24947201.1
1998-01-05T00:00:00.000,4.01177,4.02635,3.69325,3.8902,22344145.08
1998-01-06T00:00:00.000,3.87561,4.98432,3.58628,4.60502,63150252.55
1998-01-07T00:00:00.000,4.57341,4.6804,4.20871,4.24032,36978255.52
1998-01-08T00:00:00.000,4.24032,4.52965,4.11875,4.39107,27687622.95
1998-01-09T00:00:00.000,4.40808,4.71201,4.25491,4.43726,31624883.38
1998-01-12T00:00:00.000,4.24032,4.52965,4.16495,4.46886,18300352.79
1998-01-13T00:00:00.000,4.52965,4.77279,4.49804,4.76306,22182098.34
1998-01-14T00:00:00.000,4.83357,4.84816,4.6804,4.78738,20340344.31
1998-01-15T00:00:00.000,4.66581,4.80196,4.52965,4.66581,19157062.33
1998-01-16T00:00:00.000,4.72659,4.72659,4.54424,4.55883,8643666.36
1998-01-20T00:00:00.000,4.6342,4.69499,4.52965,4.61962,8546191.97
1998-01-21T00:00:00.000,4.55883,4.6342,4.51263,4.59044,6622588.92000001
1998-01-22T00:00:00.000,4.54424,4.80196,4.52965,4.69499,11570811.37
1998-01-23T00:00:00.000,4.71201,4.78738,4.6804,4.74118,8400594.77000001
1998-01-26T00:00:00.000,4.72659,4.75577,4.57341,4.71201,4971260.96
1998-01-27T00:00:00.000,4.66581,4.78738,4.61962,4.6804,3926584.60000001
1998-01-28T00:00:00.000,4.66581,4.71201,4.52965,4.6804,5436841.15000001
1998-01-29T00:00:00.000,4.60502,4.65122,4.49804,4.51263,7310675.58
1998-01-30T00:00:00.000,4.45185,4.59044,4.43726,4.46886,5542952.31000001
1998-02-02T00:00:00.000,4.49804,4.49804,4.22573,4.28652,19367643.36
1998-02-03T00:00:00.000,4.3011,4.52965,4.3011,4.45185,13530202.79
1998-02-04T00:00:00.000,4.39107,4.49804,4.37647,4.45185,6066938.85
1998-02-05T00:00:00.000,4.43726,4.49804,4.37647,4.46886,8240194.16000001
1998-02-06T00:00:00.000,4.46886,4.54424,4.43726,4.48346,7246104.87000001
1998-02-09T00:00:00.000,4.46886,4.74118,4.46886,4.6804,17131869.19
1998-02-10T00:00:00.000,4.65122,4.75577,4.6342,4.71201,15058553.12
1998-02-11T00:00:00.000,4.74118,4.74118,4.59044,4.6342,6720475.16000001
